"group","permission","target"
"People","people.view","people-hr"
"People","people.view_team","people-hr"
"People","people.view_all","people-hr"
"People","people.manage","people-hr"
"Organization","organization.view","people-hr"
"Organization","organization.manage","people-hr"
"Projects","projects.view","work-management"
"Projects","projects.view_assigned","work-management"
"Projects","projects.view_all","work-management"
"Projects","projects.manage","work-management"
"Tasks","tasks.view","work-management"
"Tasks","tasks.view_own","work-management"
"Tasks","tasks.view_team","work-management"
"Tasks","tasks.view_all","work-management"
"Tasks","tasks.manage_team","work-management"
"Tasks","tasks.manage","work-management"
"Tasks","tasks.workflow_manage","work-management"
"Time","time.view_own","time-attendance"
"Time","time.view_team","time-attendance"
"Time","time.view_all","time-attendance"
"Time","time.manage","time-attendance"
"Attendance","attendance.view_own","time-attendance"
"Attendance","attendance.view_team","time-attendance"
"Attendance","attendance.manage","time-attendance"
"Attendance","attendance.policy_manage","time-attendance"
"Scheduling","scheduling.view_own","time-attendance"
"Scheduling","scheduling.view_team","time-attendance"
"Scheduling","scheduling.manage","time-attendance"
"Approvals","approvals.view_own","work-management"
"Approvals","approvals.review","work-management"
"Approvals","approvals.workflow_manage","work-management"
"Approvals","approvals.audit","work-management"
"Activity","activity.view_own","workforce-operations"
"Activity","activity.view_team","workforce-operations"
"Activity","activity.view_all","workforce-operations"
"Activity","activity.manage","workforce-operations"
"Activity","activity.rules_manage","workforce-operations"
"Screenshots","screenshots.view_own","workforce-operations"
"Screenshots","screenshots.view_team","workforce-operations"
"Screenshots","screenshots.view_all","workforce-operations"
"Screenshots","screenshots.manage","workforce-operations"
"Screenshots","screenshots.settings_manage","workforce-operations"
"Screenshots","screenshots.storage_manage","workforce-operations"
"Payroll","payroll.view_own","finance-payroll"
"Payroll","payroll.view_all","finance-payroll"
"Payroll","payroll.manage","finance-payroll"
"Reports","reports.view","intelligence"
"Reports","reports.manage","intelligence"
"Documents","documents.view","content-studio"
"Documents","documents.generate","content-studio"
"Documents","documents.manage","content-studio"
